SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
2021-03-07,QLD1,149027.46153908,107896.5850222,0.724
2021-03-07,SA1,18173.056972,4917.05881757,0.2706
2021-03-07,TAS1,24407.311935,0.0,0.0
2021-03-07,VIC1,118856.513152,121498.28639586,1.0222
2021-03-08,NEM,493569.10581066,371340.30094089,0.7524
2021-03-08,NSW1,164263.09706,126095.74127101,0.7676
2021-03-08,QLD1,157682.65682467,115022.002542,0.7295
2021-03-08,SA1,21704.803765,3820.72548234,0.176
2021-03-08,TAS1,21863.24897399,0.0,0.0
2021-03-08,VIC1,128055.299187,126401.83164554,0.9871
2021-03-09,NEM,503609.20142627,360363.74895659,0.7156
2021-03-09,NSW1,165435.852703,118348.43767426,0.7154
2021-03-09,QLD1,159008.72806026,116662.52274389,0.7337
2021-03-09,SA1,30444.096533,3380.29193781,0.111
2021-03-09,TAS1,21577.79366001,0.0,0.0
2021-03-09,VIC1,127142.73047,121972.49660063,0.9593
2021-03-10,NEM,505147.43009942,363975.45103072,0.7205
2021-03-10,NSW1,163030.79933302,117212.62757156,0.719
2021-03-10,QLD1,159875.09256541,117105.82470222,0.7325
2021-03-10,SA1,26432.783545,3607.23484105,0.1365
2021-03-10,TAS1,23676.251616,0.0,0.0
2021-03-10,VIC1,132132.50303999,126049.76391589,0.954
2021-03-11,NEM,509607.08287909,380201.62164578,0.7461
2021-03-11,NSW1,170965.963404,129978.71587468,0.7603
2021-03-11,QLD1,166068.59519908,124537.90999902,0.7499
2021-03-11,SA1,18213.29817301,5235.50945852,0.2875
2021-03-11,TAS1,28414.874625,0.0,0.0
2021-03-11,VIC1,125944.351478,120449.48631356,0.9564
2021-03-12,NEM,510774.21116425,377818.5039487,0.7397
2021-03-12,NSW1,160916.04697125,130656.35376433,0.812
2021-03-12,QLD1,161585.84307499,120377.84036321,0.745
2021-03-12,SA1,23940.31709001,9470.83273172,0.3956
2021-03-12,TAS1,28167.632451,0.0,0.0
2021-03-12,VIC1,136164.371577,117313.47708944,0.8616
2021-03-13,NEM,493288.43582692,345314.64194115,0.7
2021-03-13,NSW1,161621.288552,115087.72857287,0.7121
2021-03-13,QLD1,154084.15709392,114175.246096,0.741
2021-03-13,SA1,30129.597624,5521.80373797,0.1833
